TransactionID,SaleDate,SaleTime,CafeName,Branch,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice_KES,Discount_Pct,TotalAmount_KES,PaymentMethod,StaffID,Rating
TXN-005816,2023-06-20,11:22,JAVA HOUSE,CBD,CUST-0432,PRD-017,Blueberry Muffin,Pastry,3,250,0,750,mpesa,STF-048,5
TXN-003648,2024-07-21,12:29,Artcafe,CBD,CUST-0312,PRD-011,Masala Chai,Tea,2,200,0,400,CASH,STF-038,5
TXN-007710,2024-04-28,20:51,Art Caffe,CBD,CUST-0213,PRD-006,Cold Brew,Coffee,1,420,0,420,cash,STF-028,5
TXN-009662,2023-01-06,17:09,Art Caffe,CBD,CUST-0215,PRD-025,Caesar Salad,Food,5,550,15,2337.5,MPESA,STF-056,4
TXN-002484,2023-07-11,16:01,Java House,CBD,CUST-0073,PRD-024,Chicken Wrap,Food,1,600,5%,570,M-PESA,STF-004,5
TXN-000695,2024-03-02,21:13,Art Café,CBD,CUST-0380,PRD-025,Caesar Salad,Food,4,550,5,2090,Visa,STF-001,5
TXN-000796,2023-08-26,12:49,Java House,Lavington,CUST-0363,PRD-025,Caesar Salad,Food,2,550,0%,1100,visa,STF-031,5
TXN-008340,2024-01-14,21:23,Art Caffe,Westside,CUST-0490,PRD-018,Cinnamon Roll,Pastry,5,300,20,1200,CASH,STF-069,4
TXN-005034,2024-12-04,16:40,Java House,CBD,CUST-0454,PRD-004,Latte,Coffee,1,380,5,361,CASH,STF-035,4
TXN-005228,2024-06-16,21:33,Art Caffe,CBD,CUST-0193,PRD-010,Lungo,Coffee,1,270,0,270,M-PESA,STF-066,4
TXN-000361,2023-04-13,08:06,Art Caffe,CBD,CUST-0055,PRD-028,Mango Juice,Juices,2,290,5,551,Mastercard,STF-050,2
TXN-007878,2024-05-23,16:55,Java House,CBD,CUST-0405,PRD-001,Espresso,Coffee,2,250,10,450,M-Pesa,STF-011,4
TXN-005696,2023-03-02,06:25,Art Café,CBD,,PRD-004,Latte,Coffee,1,380,5,361,M-Pesa,STF-019,4
TXN-006444,2024-10-29,06:26,java house,Lavington,,PRD-021,Club Sandwich,Food,2,650,0,1300,MPESA,STF-060,3
TXN-000252,2024-01-14,07:23,Art Caffe,CBD,CUST-0289,PRD-007,Macchiato,COFFEE,1,320,0,320,MPESA,STF-078,5
TXN-007324,2023-06-15,13:48,Java House,CBD,CUST-0241,PRD-009,Iced Latte,Coffee,1,790,15%,671.5,cash,STF-037,1
TXN-003536,2024-12-05,14:21,ArtCaffe,Karen,CUST-0302,PRD-003,Cappuccino,Coffee,1,350,0,350,CASH,STF-055,5
TXN-001731,2024-01-10,13:55,Java House,CBD,CUST-0208,PRD-001,Espresso,Coffee,2,250,10,450,Mastercard,STF-030,5
TXN-000305,2024-02-17,,Art Caffe,Westlands,,PRD-022,Eggs Benedict,Food,2,750,0,1500,M-PESA,STF-032,3
TXN-000034,2023-08-29,20:41,Java House,CBD,CUST-0119,PRD-030,Green Smoothie,Juices,1,350,0,350,Cash,STF-079,4
TXN-009262,2023-06-19,13:33,java house,CBD,CUST-0371,PRD-021,Club Sandwich,Food,1,650,0,650,Visa,STF-058,5
TXN-006913,2024-08-28,21:50,ArtCaffe,CBD,CUST-0069,PRD-017,Blueberry Muffin,Pastry,1,250,0,250,M-PESA,STF-031,1
TXN-005611,2024-01-06,21:47,Java House,CBD,CUST-0128,PRD-024,Chicken Wrap,Food,2,600,0,1200,Visa,STF-023,3
TXN-001984,2023-09-20,12:27,Art Café,CBD,,PRD-008,Mocha,Coffee,1,400,0,400,Mastercard,STF-051,
TXN-005636,2024-02-02,07:08,Artcafe,CBD,,PRD-023,Avocado Toast,Food,2,580,5,1102,CASH,STF-043,5
TXN-006900,2024-07-06,19:18,Java House,CBD,CUST-0228,PRD-017,Blueberry Muffin,PASTRY,1,250,0,250,Mastercard,STF-020,1
TXN-007464,2023-12-12,17:13,java house,CBD,CUST-0298,PRD-013,Black Tea,Tea,4,160,0,640,MPESA,STF-052,4
TXN-009716,2023-01-06,07:17,Art Caffe,Westside,CUST-0402,PRD-010,Lungo,Coffee,1,360,15,306,cash,STF-068,1
TXN-001609,2023-07-06,15:12,Art Caffe,Lavington,CUST-0343,PRD-010,Lungo,Coffee,2,270,10,486,CASH,STF-067,5
TXN-002222,2024-03-01,13:45,ArtCaffe,CBD,CUST-0188,PRD-004,Latte,Coffee,5,380,0,1900,visa,STF-012,5
TXN-009516,2024-04-07,08:35,Java House,CBD,CUST-0073,PRD-021,Club Sandwich,Food,1,390,5,370.5,Visa,STF-066,2
TXN-008599,2024-05-04,17:05,Java House,CBD,CUST-0373,PRD-012,Green Tea,Tea,5,180,15,,CASH,STF-006,4
TXN-008734,2023-09-07,13:35,Java House,CBD,CUST-0152,PRD-017,Blueberry Muffin,Pastry,2,250,0,500,M-PESA,STF-050,3
TXN-007952,2024-02-18,22:37,ArtCaffe,Westlands,CUST-0084,PRD-032,Vanilla Shake,Shakes,1,420,20,,Visa,STF-010,4
TXN-008161,2024-09-18,19:24,Java House,CBD,CUST-0398,PRD-021,Club Sandwich,Food,1,650,5,617.5,Mastercard,STF-079,5
TXN-008133,27/06/2023,16:43,Artcafe,CBD,CUST-0221,PRD-004,Latte,Coffee,1,380,0,380,M-Pesa,STF-060,3
TXN-006498,2024-05-08,17:46,ArtCaffe,CBD,CUST-0375,PRD-029,Watermelon Juice,Juices,1,260,0,260,mpesa,STF-017,4
TXN-003856,2024-05-26,21:40,JAVA HOUSE,CBD,CUST-0448,PRD-011,masala chai,Tea,2,200,0,400,Mastercard,STF-015,3
TXN-009254,2024-10-05,16:52,Art Caffe,CBD,CUST-0098,PRD-014,Mint Tea,Tea,4,190,0%,760,Visa,STF-077,5
TXN-008448,2024-07-17,06:23,Artcafe,CBD,CUST-0138,PRD-006,Cold Brew,Coffee,3,420,20,1008,cash,STF-051,5
TXN-000544,2024-10-08,14:05,Java House,CBD,CUST-0235,PRD-001,Espresso,Coffee,2,250,20,400,mpesa,STF-061,4
TXN-002158,27/02/2023,14:52,Art Caffe,CBD,CUST-0374,PRD-019,Banana Bread,Pastry,2,220,5,418,Mastercard,STF-066,
TXN-007914,2024-03-14,12:44,Java House,CBD,CUST-0394,PRD-019,Banana Bread,Pastry,3,220,10,,cash,STF-051,4
TXN-008327,2024-11-25,,Artcafe,CBD,CUST-0097,PRD-004,Latte,COFFEE,1,380,0%,380,Visa,STF-079,4
TXN-006720,2023-03-13,10:21,Java House,CBD,CUST-0284,PRD-016,Croissant,Pastry,1,280,0,280,CASH,STF-048,4
TXN-004082,2023-04-29,16:21,Java House,Kilimani,CUST-0343,PRD-025,Caesar Salad,Food,5,550,0,2750,cash,STF-029,3
TXN-000857,2024-10-03,22:05,Artcafe,CBD,,PRD-002,Americano,Coffee,1,280,0,280,visa,STF-049,5
TXN-010106,2023-11-30,21:36,ArtCaffe,CBD,CUST-0343,PRD-016,Croissant,Pastry,1,280,0,280,Cash,STF-002,
TXN-004342,2024-01-21,12:55,ArtCaffe,Nyali,CUST-0090,PRD-002,Americano,Coffee,1,280,0,280,mpesa,STF-079,4
TXN-007481,2023-11-02,17:25,Java House,CBD,CUST-0438,PRD-024,Chicken Wrap,Food,2,320,0,640,MPESA,STF-042,3
TXN-003544,2024-01-08,16:49,Artcafe,CBD,,PRD-009,Iced Latte,Coffee,1,400,10,360,MPESA,STF-076,5
TXN-000609,2023-05-09,18:18,Java House,CBD,CUST-0131,PRD-030,green smoothie,Juices,3,350,0,1050,visa,STF-004,5
